Stem,Ingredient,Confidence,Tier,Source,Reasoning
K1K2Q1J1,Crocus,80,3,v3_STRONG,STRONG: 2 candidates (Crocus vs Cinnamomum). Crocus scores 0.763 vs Cinnamomum ~0.607. Crocus is the discriminative choice.
U1J1Aa,Crocus,80,3,v3_STRONG,STRONG: 2 candidates (Crocus vs Cinnamomum). Crocus scores 0.763 vs Cinnamomum ~0.607. Crocus is the discriminative choice.
A2A3,Cinnamomum,60,3,elimination_chain,"Was MODERATE with 3 candidates. After eliminating {'Crocus', 'Casia'}, only Cinnamomum remains."
P1K1J1A1,Cinnamomum,60,3,elimination_chain,"Was MODERATE with 3 candidates. After eliminating {'Crocus', 'Casia'}, only Cinnamomum remains."
K1J1A1B2,Saccharum,75,4,elimination_chain_strong,Reduced from 4 to 2 candidates. Top: Saccharum(0.873) vs Cinnamomum(0.607). Gap > 0.05.
K1A1C1,Amomum,72,4,v3_MODERATE,"Amomum scores 0.936, well above next (Piper nigrum 0.835). Present in Diaciminum+Trifera only. Amomum in both."
K1C2,Amomum,72,4,v3_MODERATE,"Amomum scores 0.936, well above next (Piper nigrum 0.835). Present in Diaciminum+Trifera only. Amomum in both."
K1U1J1,Amomum,72,4,v3_MODERATE,"Amomum scores 0.936, well above next (Piper nigrum 0.835). Present in Diaciminum+Trifera only. Amomum in both."
A1Q1A1,Piper nigrum,70,4,v3_MODERATE,Top candidate at 0.835. Present in Aurea+Diaciminum+Philonium+Trifera. P.nigrum in all 4.
A1Q1L1,Styrax,70,4,v3_MODERATE,Styrax scores 0.907. Present in Diascordium+Philonium only. Styrax is in both.
U1J1A1B1,Styrax,70,4,v3_MODERATE,Styrax scores 0.907. Present in Diascordium+Philonium only. Styrax is in both.
A1Q1A3,Piper longum,68,4,v3_MODERATE,Top candidate at 0.780. Similar profile to A1Q1A1 (Piper nigrum) -- morphological pair A1Q1+A1 vs A1Q1+A3 maps to nigrum/longum pair.
D1,Bdellium,68,4,v3_MODERATE,"Bdellium 0.928, next Opopanax 0.919. Present in Trifera+Ung.Apostolorum. Both have Bdellium."
P1K1K2,Bdellium,68,4,v3_MODERATE,"Bdellium 0.928, next Opopanax 0.919. Present in Trifera+Ung.Apostolorum. Both have Bdellium."
A1Q1K2A1,Casia,65,4,v3_MODERATE,Top candidate 0.827. Present in Aurea+Diamargariton+Philonium+Trifera. Casia in all 4. K1A3=Crocus eliminates Crocus from this list.
A1B2K1J1A1,Cardamomum,65,4,v3_MODERATE,"Cardamomum 0.890. Present in Diamargariton+Philonium (or +Trifera). After eliminating Crocus(=K1A3) and Casia(=A1Q1K2A1), Cardamomum is top."
C1A3,Cardamomum,65,4,v3_MODERATE,"Cardamomum 0.890. Present in Diamargariton+Philonium (or +Trifera). After eliminating Crocus(=K1A3) and Casia(=A1Q1K2A1), Cardamomum is top."
D1A1Q1J1A1B1,Cardamomum,65,4,v3_MODERATE,"Cardamomum 0.890. Present in Diamargariton+Philonium (or +Trifera). After eliminating Crocus(=K1A3) and Casia(=A1Q1K2A1), Cardamomum is top."
D1A1Q2J1A1,Cardamomum,65,4,v3_MODERATE,"Cardamomum 0.890. Present in Diamargariton+Philonium (or +Trifera). After eliminating Crocus(=K1A3) and Casia(=A1Q1K2A1), Cardamomum is top."
K1J1A1U1,Cardamomum,65,4,v3_MODERATE,"Cardamomum 0.890. Present in Diamargariton+Philonium (or +Trifera). After eliminating Crocus(=K1A3) and Casia(=A1Q1K2A1), Cardamomum is top."
L1A1B1A1,Cardamomum,65,4,v3_MODERATE,"Cardamomum 0.890. Present in Diamargariton+Philonium (or +Trifera). After eliminating Crocus(=K1A3) and Casia(=A1Q1K2A1), Cardamomum is top."
L1A1U1J1,Cardamomum,65,4,v3_MODERATE,"Cardamomum 0.890. Present in Diamargariton+Philonium (or +Trifera). After eliminating Crocus(=K1A3) and Casia(=A1Q1K2A1), Cardamomum is top."
K1A1B2A1B1,Cardamomum,65,4,v3_MODERATE,"Cardamomum 0.890. Present in Diamargariton+Philonium (or +Trifera). After eliminating Crocus(=K1A3) and Casia(=A1Q1K2A1), Cardamomum is top."
A1Q2J1A1,Casia,63,4,v3_MODERATE,"Same Casia profile as A1Q1K2A1. Morphological variant. After eliminating Crocus (=K1A3), Casia is top."
D1A1Q1K2A1,Casia,63,4,v3_MODERATE,Same profile. D1A1-prefix + Casia stem.
